Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,17.0151166988116,20.8496144547779,21.6775875620697
SYN_SUM,0,8.49931678301651,17.2123891548491,21.0072462271826
SYN_SUM_WEIGHTED,0,2.43767505750482,4.89600283191175,6.82625020877475
SYN_SPREAD,0,0.706764198785586,0.908597555345024,0.984416962344769
SYN_AVERAGE_C1,0,0.00504295637128872,0.0068089843719998,0.00827362880959121
SYN_AVERAGE_C2,0,0.509881406925104,0.980476956330342,1.22156790416717
ANT_MAX,0,-26.3660093112371,-25.1048809837124,-24.9977424379303
ANT_SUM,0,-22.7394269347065,-12.1568559887348,-11.9425369816764
ANT_SUM_WEIGHTED,0,-17.6808055586094,-9.34705499307958,-9.16933265623169
ANT_SPREAD,0,0.928683131783088,0.69587550999695,0.691190726784187
ANT_AVERAGE_C1,0,0.00465279549917682,0.00286297015105847,0.0027770226325002
ANT_AVERAGE_C2,0,1.29285288156898,0.956113051139552,0.973107283749542
SUM_SYN_ANT,0,-14.24011015169,5.05553316611429,9.06470924550618
SUM_SYN_ANT_WEIGHTED,0,-15.2431305011046,-4.45105216116783,-2.34308244745694
