Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,12.0924021466469,12.0924021466469,27.5100287616216
SYN_SUM,0,10.578080834933,5.18683110922859,25.5729192269467
SYN_SUM_WEIGHTED,0,8.42208636513151,3.69759174080045,17.5751854841966
SYN_SPREAD,0,0.935291849776468,0.654929816424778,0.964150056922345
SYN_AVERAGE_C1,0,0.0207058969117725,0.0102629170188504,0.0203505777323371
SYN_AVERAGE_C2,0,0.242496898521937,0.18593497692208,0.166637003691749
ANT_MAX,0,-15.7665451754986,-15.688921695773,-11.847812733584
ANT_SUM,0,-11.3436857179291,-11.9523426453641,-4.7830109050252
ANT_SUM_WEIGHTED,0,-7.41179181193382,-6.62157211821162,-2.85053174053445
ANT_SPREAD,0,0.848220614633642,0.872830612490891,0.63537715391884
ANT_AVERAGE_C1,0,0.00426981297928498,0.00640208338261987,0.00224762514697727
ANT_AVERAGE_C2,0,0.0739402881310049,0.117579953600823,0.130279361375156
SUM_SYN_ANT,0,-0.765604882996138,-6.76551153613554,20.7899083219215
SUM_SYN_ANT_WEIGHTED,0,1.01029455319768,-2.92398037741117,14.7246537436622
