drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.003125,0.0,101.55951999999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.01,36.58232,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.005,45.216187,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.0025,71.123634,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.00125,105.82088999999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.000625,156.46223,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.0003125,118.70638000000001,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.00015625,146.25911000000002,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,7.8125e-05,109.12901000000001,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,3.9125e-05,115.06492,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.0015625,0.0,64.97134399999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.01,54.721430000000005,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.005,62.296776,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.0025,80.34816,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.00125,124.35573000000001,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.000625,147.62953000000002,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.0003125,137.16324,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.00015625,147.70752,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,7.8125e-05,148.5633,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,3.9125e-05,158.40968,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.00078125,0.0,131.34625,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.01,21.28153,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.005,44.672306,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.0025,75.47468,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.00125,170.1041,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.000625,132.02853000000002,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.0003125,131.46516,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.000390625,0.00015625,135.6934,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
