Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,15.990605246053,15.990605246053,15.990605246053
SYN_SUM,0,2.30434399926064,2.30434399926064,2.30434399926064
SYN_SUM_WEIGHTED,0,0.00132559923646175,0.00132559923646175,0.00132559923646175
SYN_SPREAD,0,0.379613112322414,0.379613112322414,0.379613112322414
SYN_AVERAGE_C1,0,0.0940418932249876,0.0940418932249876,0.0940418932249876
SYN_AVERAGE_C2,0,0.0015526569748864,0.0015526569748864,0.0015526569748864
ANT_MAX,0,-23.699459753947,-23.699459753947,-23.699459753947
ANT_SUM,0,-27.8903315499498,-27.8903315499498,-27.8903315499498
ANT_SUM_WEIGHTED,0,-27.8837615810961,-27.8837615810961,-27.8837615810961
ANT_SPREAD,0,1.08481983045715,1.08481983045715,1.08481983045715
ANT_AVERAGE_C1,0,0.0163118893374174,0.0163118893374174,0.0163118893374174
ANT_AVERAGE_C2,0,0.00619897057235952,0.00619897057235952,0.00619897057235952
SUM_SYN_ANT,0,-25.5859875506891,-25.5859875506891,-25.5859875506891
SUM_SYN_ANT_WEIGHTED,0,-27.8824359818596,-27.8824359818596,-27.8824359818596
