Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,5.51579116882647,6.4098598450109,19.2997078104778
SYN_SUM,0,1.11860634503989,3.77100810210878,7.85459565141182
SYN_SUM_WEIGHTED,0,0.662337705565161,1.35684971611654,3.54404353449143
SYN_SPREAD,0,0.450333994204303,0.767016075105402,0.6379498643023
SYN_AVERAGE_C1,0,0.00276830914664504,0.00887291026142216,0.0142899399746405
SYN_AVERAGE_C2,0,0.00318552794331141,0.000811065252463572,0.0014436245892914
ANT_MAX,0,-34.0495285325501,-9.52929032090761,-9.44663386775301
ANT_SUM,0,-33.8741812323793,-13.188832154676,-11.4802516811241
ANT_SUM_WEIGHTED,0,-25.2170976110989,-8.67544874937778,-8.09686307072983
ANT_SPREAD,0,0.997421790542511,1.17644842174681,1.10239481760788
ANT_AVERAGE_C1,0,0.00532984306700033,0.00293026337048621,0.00216526861509053
ANT_AVERAGE_C2,0,0.00140302260003176,0.0018691715867007,0.00164280214323759
SUM_SYN_ANT,0,-32.7555748873394,-9.41782405256718,-3.62565602971226
SUM_SYN_ANT_WEIGHTED,0,-24.5547599055337,-7.31859903326123,-4.5528195362384
