Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,11.0144379829493,13.1706769449707,17.4814760185258
SYN_SUM,0,1.81210606823267,4.4245554201278,8.06146810364192
SYN_SUM_WEIGHTED,0,1.01503370275295,1.3763851281192,3.14066838534855
SYN_SPREAD,0,0.405611851764607,0.579603195196543,0.679075435166059
SYN_AVERAGE_C1,0,0.0123678845982277,0.0292107343442265,0.067843038598354
SYN_AVERAGE_C2,0,0.291205771048235,0.135650527062057,0.144836273037059
ANT_MAX,0,-34.4431945518899,-19.2488786410385,-15.6119609814742
ANT_SUM,0,-38.4979249258284,-19.7244775981374,-17.6935231276187
ANT_SUM_WEIGHTED,0,-28.7848880825521,-13.602872891985,-12.9980438317927
ANT_SPREAD,0,1.05722384120367,1.01227855782061,1.06458031256424
ANT_AVERAGE_C1,0,0.0523098911050705,0.03545869812882,0.0279279907935646
ANT_AVERAGE_C2,0,0.048057458754047,0.0388066152002851,0.0319121716110621
SUM_SYN_ANT,0,-36.6858188575957,-15.2999221780096,-9.6320550239768
SUM_SYN_ANT_WEIGHTED,0,-27.7698543797991,-12.2264877638658,-9.85737544644418
