Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,20.5897446062079,45.6687345583771,45.797847147124
SYN_SUM,0,11.5439816077353,16.1000293147382,17.669836921306
SYN_SUM_WEIGHTED,0,5.65957431874819,6.0518461598081,6.83998662001158
SYN_SPREAD,0,0.748776719680064,0.593750303290989,0.621146066055756
SYN_AVERAGE_C1,0,0.0154880388467466,0.011785788880176,0.0121819095254125
SYN_AVERAGE_C2,0,0.64776241710591,0.948425781333942,1.16860159590317
ANT_MAX,0,-80.3710481199272,-73.2211600000002,-73.2211600000002
ANT_SUM,0,-119.616030522213,-110.47689451828,-110.104665773428
ANT_SUM_WEIGHTED,0,-114.821344231197,-106.799158223132,-106.645721176559
ANT_SPREAD,0,1.21995799379776,1.22833669622747,1.22626563871141
ANT_AVERAGE_C1,0,0.00188909721027473,0.00161691289982042,0.00160177681719776
ANT_AVERAGE_C2,0,1.03839066124355,0.844604383483446,0.83761650074622
SUM_SYN_ANT,0,-108.072048914478,-94.3768652035413,-92.4348288521225
SUM_SYN_ANT_WEIGHTED,0,-109.161769912449,-100.747312063324,-99.8057345565477
