"","0","0.000293","0.000586","0.001171875","0.00234375","0.0046875","0.009375","0.01875","0.0375","0.075"
"0",0,0,0,0,0,0,0,0,0,0
"0.000039125",0,14426.3074614834,14427.9220629405,14445.65835796,14442.3788295504,11825.4462528839,6331.8848805062,6290.90143090989,6320.54875378659,6330.70282653976
"0.000078125",0,14470.7009336842,14464.9773982436,14480.8176443308,14472.3864799063,11853.4625699007,6356.15963453058,6344.63991711261,6345.95637199182,6344.90592666288
"0.00015625",0,14478.8502111678,14474.4863469952,14492.8590208102,14485.3978741928,11865.8691056356,6365.95337073228,6351.6908907575,6354.31613389969,6350.24426734503
"0.0003125",0,14485.6236951334,14481.1044454324,14496.2537924983,14492.1979170194,11867.0780634661,6362.8940761892,6346.47425757244,6349.86130555331,6345.27839211708
"0.000625",0,14494.4973686157,14496.0217313025,14506.2027828723,14510.027503168,11875.2099085114,6365.20740263609,6346.62473586365,6350.08023725108,6344.72753322413
"0.00125",0,14530.8726890208,14533.1224058702,14532.8480434508,14539.5875793016,11892.8017913632,6374.01797981709,6351.74456321977,6353.78166936691,6346.55513760187
"0.0025",0,14574.7649029398,14576.312946417,14568.5259181527,14573.3404619963,11919.2990094888,6391.70300683382,6365.48022404073,6365.42464307569,6355.59767688821
"0.005",0,14579.9191486027,14583.3641470603,14575.703441388,14578.9800857178,11925.2217862098,6392.8632990061,6365.48022404073,6365.42481349363,6354.7292705608
"0.01",0,14583.5201933037,14586.9865373738,14580.8706397796,14581.4442681759,11929.5597133831,6393.75300864496,6365.48022404073,6365.4248394929,6353.81946738337
