"","0","0.000976625","0.001953125","0.00390625","0.0078125","0.015625","0.03125","0.0625","0.125","0.25"
"0",0,0,0,0,0,0,0,0,0,0
"0.00292975",0,3261.73988434042,3273.51061626849,3275.02082650684,3287.04803153877,3090.50858118967,1951.00637938429,1404.16088264431,1367.8230521314,1369.21594454507
"0.005859375",0,5486.83154838511,5509.1901175988,5516.33177809104,5527.22088020879,5212.71817920587,3318.83343816107,2409.77700621786,2371.01259710469,2348.22914527665
"0.01171875",0,8058.44551584422,8132.20042897167,8164.86456360401,8179.83192942533,7727.3308424419,4932.44018285167,3589.71096920011,3524.90070974458,3489.13463046077
"0.0234375",0,11212.198995089,11243.5586687772,11251.6359085998,11242.8806210902,10620.4292902984,6769.78728885345,4923.39017790399,4820.36516862545,4784.9783530582
"0.046875",0,14818.9118427905,14843.08367696,14841.8945023317,14809.4089922145,13992.646633929,8930.33852268691,6500.29872875847,6344.20483726389,1400.01510642614
"0.09375",0,18758.7909370232,18789.7390225291,18790.8346066179,18740.9820501295,17716.7084638679,11313.9847075062,8232.39510831204,8023.36394585864,7979.88390059445
"0.1875",0,22982.0507071518,23031.473596236,23043.8060549396,22982.4376316751,21737.8080172888,13886.9480524741,10096.2274186871,9834.1525991494,9790.68328762389
"0.375",0,27560.0988170546,27605.542251048,27609.9953258982,27522.4608865828,26030.8691229782,16637.9386707442,12094.3027685228,11772.6141119906,11723.9106500702
"0.75",0,32166.8260800447,32225.7618353644,32234.2364579429,32131.6897742466,30392.5821719947,19424.4445778927,14119.1132290801,13741.8709298331,13690.628451987
