Parameters,propafenonehydrochloride,artesunate
EC50,0.0118302591548352,3.63194582970993
H,10,2.39879987206462
Ucinf,20.5468755272381,0
chi2,15987.4679966061,2290.70039323689
good_of_fit,0,0
