Parameters,mefloquine,methyleneblue
EC50,0.0206640861846207,0.0281670776229801
H,5.58232528534716,2.25737743547009
Ucinf,3.80250660492669,0
chi2,99.146924923313,139.732074192589
good_of_fit,0,0
