Parameters,gsk2126458,artesunate
EC50,0.018472385460318,0.05
H,7.41431007838854,9.99999999999998
Ucinf,2.61139021415932,40.3926344794323
chi2,392.264485721027,529.070519076267
good_of_fit,0,0
