Parameters,clobetasonebutyrate,nitd609
EC50,0.00154760685663479,1.14731151647919
H,6.11248978896808,1.43236922371418
Ucinf,0.511277162918966,0
chi2,113.275595302359,190.515774207514
good_of_fit,0,0
