Parameters,trichostatina,gramicidin
EC50,3.29611939353239e-05,0.0402944753988574
H,3.5615076761147,3.58599131519282
Ucinf,1.3662567678622,4.11831862325609
chi2,64.1249422581702,567.951362505834
good_of_fit,0,0
