Parameters,emetine,artesunate
EC50,0.022818126766001,0.139210748872409
H,6.55104389853157,4.4543837636777
Ucinf,3.53921039452958,2.36581882091067
chi2,35.4905661362884,71.2367371187865
good_of_fit,0,0
