Parameters,nvpauy922,artesunate
EC50,0.0135047615522131,0.0822382883823075
H,9.99999999999993,3.7868235785558
Ucinf,3.04889210091893,0.577822486406654
chi2,199.535984124941,169.199124218946
good_of_fit,0,0
