Parameters,pyronaridine,artesunate
EC50,0.00266487384479736,0.00505684708521974
H,8.25066955554671,9.99999999999998
Ucinf,2.34837847653435,0
chi2,479.784802126687,701.508964729113
good_of_fit,0,0
