Parameters,kn62,halofantrine
EC50,0.000888049123031542,0.570444756066801
H,3.31113856909784,1.83081749724584
Ucinf,0.610051107710696,0
chi2,93.1023083749277,300.28415130415
good_of_fit,0,0
