Parameters,bix01294,chloroquine
EC50,0.314030901677572,0.0892577940836222
H,6.66529570391345,9.29562156891268
Ucinf,0,2.19335341620526
chi2,107.319972443384,184.614979884688
good_of_fit,0,0
