Parameters,genz669178,methylrosanilinechloride
EC50,0.0152656308071759,0.0293782422274869
H,5.21185262127259,2.16073447967639
Ucinf,28.1613074572066,0
chi2,305.378219184437,339.470604419537
good_of_fit,0,0
