Parameters,reserpine,artemether
EC50,0.0115095954571988,1.66020408102481
H,9.99999999999994,3.62205528121759
Ucinf,22.8160282112867,1.71727401377886
chi2,4971.66401121997,3339.36846745889
good_of_fit,0,0
