Parameters,torin2,lumefantrine
EC50,0.00509253294253917,0.000581538776260237
H,3.71755364652082,9.99999999999993
Ucinf,1.40720205704506,6.58969812349394
chi2,407.298004838189,261.808859034449
good_of_fit,0,0
