Parameters,tafenoquine,methyleneblue
EC50,0.0110637580254018,0.396939419723152
H,9.99999999999999,1.06904281349408
Ucinf,6.35279179466895,0
chi2,490.178950158944,538.969293218869
good_of_fit,0,0
