Parameters,panobinostatlbh589,lumefantrine
EC50,0.0111241148582772,0.0620828909850409
H,9.99999999999999,2.05178333770133
Ucinf,9.20807252511181,0
chi2,1021.84474658616,1237.97993011609
good_of_fit,0,0
