Parameters,ml238,proguanil
EC50,0.0926032672814738,0.000801536808593718
H,9.99999999999998,9.99999999999989
Ucinf,51.8352402852146,29.3825337059353
chi2,31399.0706856359,6934.76360061839
good_of_fit,0,0
