Parameters,calhex231,artesunate
EC50,0.0202787937752492,5.76420159742409
H,4.46290878483107,1.97294074629199
Ucinf,0.919362399906698,1.28048078863581
chi2,49.826300616341,80.0923630319972
good_of_fit,0,0
