Parameters,lomerizinedihydrochloride,artemether
EC50,0.0116477141283524,9.99999999999996
H,1.97715558928343,9.99999999999997
Ucinf,0,45.6003662429839
chi2,769.908918366306,1080.49862842026
good_of_fit,0,0
