Parameters,nvpbgt226,mefloquine
EC50,0.0344827878592978,0.00114297239001828
H,2.91720040673659,4.6735464108702
Ucinf,0,8.92933377586561
chi2,1732.30041340407,6602.45910320153
good_of_fit,0,0
