Parameters,propafenonehydrochloride,mefloquine
EC50,0.0637417422973958,1.24222211611875
H,10,0.800656322686689
Ucinf,26.4443271973267,0
chi2,9029.29148904332,4007.48203131482
good_of_fit,0,0
