Parameters,propafenonehydrochloride,artenimol
EC50,0.00142293393556329,1.8624689908323
H,4.50438196192095,1.90661771463191
Ucinf,0.245032483463248,0
chi2,32.8800880229626,333.133325847767
good_of_fit,0,0
