Parameters,carfilzomib,artesunate
EC50,0.00218808938022225,0.0103140701243752
H,4.91635520349579,6.82832439390034
Ucinf,1.72577399878398,0
chi2,83.2771522590435,131.649530099407
good_of_fit,0,0
