Parameters,emetine,artenimol
EC50,0.0249999999999989,0.151381882548451
H,9.99999999999992,2.59580440124788
Ucinf,87.6539146326645,0
chi2,53247.6730806208,22023.5941327287
good_of_fit,0,0
