Parameters,nicardipine,methyleneblue
EC50,0.0148987024771471,5.84548356713482
H,5.52549309081062,1.19723241181225
Ucinf,15.250259476872,0
chi2,2224.20348340362,1484.0718584728
good_of_fit,0,0
