Parameters,reserpine,halofantrine
EC50,0.00130844768020958,3.08951366792068
H,4.45418517809126,2.57790157021328
Ucinf,0.229615868588423,10.6921024072257
chi2,49.1182832696443,226.222293681115
good_of_fit,0,0
