Parameters,pyronaridine,artesunate
EC50,0.00703706990647512,0.00658913085264758
H,6.77955359079549,10
Ucinf,10.6847799231188,9.78802260070398
chi2,5150.89295215095,1173.81230457706
good_of_fit,0,0
