Parameters,pkc412,lumefantrine
EC50,0.0170480436732411,0.409678276345131
H,2.3394636512622,1.61176335142731
Ucinf,0,5.93657023303476
chi2,74.3797423817022,102.952649343576
good_of_fit,0,0
