Parameters,methylrosanilinechloride,atovaquone
EC50,0.0249999999999998,0.0434888067348469
H,9.99999999999998,1.9797184313631
Ucinf,19.2025272073173,0
chi2,10682.932108139,14677.6925628532
good_of_fit,0,0
