Parameters,kn62,artesunate
EC50,0.0118200774228826,2.67977872152304
H,9.99999999999998,9.99999999999995
Ucinf,44.7940684321101,0
chi2,15460.9319824695,13182.0025618322
good_of_fit,0,0
