Parameters,methylrosanilinechloride,halofantrine
EC50,0.000892644851115712,0.0214132196418744
H,2.70431568882474,1.93077942150172
Ucinf,0,0
chi2,122.606504824977,275.811149920632
good_of_fit,0,0
