Parameters,reserpine,lumefantrine
EC50,0.0203729988716412,2.67057572467053
H,3.38781955182988,10
Ucinf,25.7761573145664,43.9248918035005
chi2,43396.9666930107,4218.25452254213
good_of_fit,0,0
