Parameters,reserpine,decoquinate
EC50,0.00674029318179622,2.65708691098936
H,2.50474076712167,2.9847504371094
Ucinf,7.02864892267187,0
chi2,19.9542323838523,160.694528606236
good_of_fit,0,0
