Parameters,manidipinedihydrochloride,artenimol
EC50,0.00151290425533163,5.72613113686408
H,6.08103702760146,2.19840862178969
Ucinf,1.21483664002237,0
chi2,15.9155663115826,56.8782671677905
good_of_fit,0,0
