Parameters,gramicidin,atovaquone
EC50,0.000786352913084658,2.23409700010209e-05
H,1.24215023876519,1.83814483397405
Ucinf,0,0.195305381665456
chi2,109.487418126102,8.18166593830199
good_of_fit,0,0
