Parameters,monensinsodiumsalt,artemether
EC50,0.0241481258899759,0.00291464149080314
H,10,3.27122434457447
Ucinf,0.527958872492956,2.40890717072124
chi2,192.238249892825,111.344406278959
good_of_fit,0,0
