Parameters,manidipinedihydrochloride,artenimol
EC50,0.0044023614079811,3.23423570307299
H,9.99999999999991,9.99999999999984
Ucinf,81.9354787830978,43.5461275183109
chi2,61631.2112307877,18238.2295496724
good_of_fit,0,0
