Parameters,pyronaridine,artesunate
EC50,0.0138714600116832,0.031573923147773
H,5.88016039853493,10
Ucinf,2.26419670726009,0.473008883534626
chi2,183.598222729654,369.859925620862
good_of_fit,0,0
