Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYN_SUM_SAN,SYN_SUM_LOEWE,SYN_SUM_BLISS,SYN_SUM_HSA,QA
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,3methyladenine,lumefantrine,0.025,0.5,0.00442694801021138,4.35911855313074,2.96338446212814,0.5,10,75.6336323318231,0,17.3006283520919,21.9969641663963,22.6440470475502,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,3methyladenine,lumefantrine,0.05,1,0.0147217212885877,2.95489307857343,0.330833580372175,1,0,100,0,8.78388270898109,8.7838827089811,8.78388270898109,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,3methyladenine,lumefantrine,0.05,1,0.00873902661197498,3.82799995915782,7.86815112115494,1,0,100,0,8.48820337497573,8.48820337497573,8.48820337497573,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0187303002599478,9.99999999999989,50.3170481270823,0.179953243897603,10,15.7825654262878,0,55.4797096766523,61.0637765122447,61.074999721367,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0337150809577749,5.86698796109093,0,0.140657068715643,4.06569589660719,1.85428819299474,0,28.0157217279403,50.6025800169418,52.8308504008986,1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0189677499854339,4.2536560579891,27.8436503418189,0.263420133119119,2.91942367693716,0,0,90.2261822677362,105.77688180493,109.824899735413,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00258905215068505,3.12413481082045,23.8680683240436,0.105540924383617,9.99999999999883,53.5614575343821,0,17.7259818118242,19.2118475304115,22.625565538046,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00251054439330273,4.23417709530091,0.809888208858683,0.137170813507816,3.86929639485432,2.04929917393264,0,7.19760451731709,25.2565115432445,30.0288838672997,1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00253001232412501,2.82462468250901,1.36579683411297,0.291483180359768,2.84332493877359,4.99532158735779,0,9.84336897385472,18.2262051807843,25.0096437465981,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00960795347017824,9.99999999999998,58.5837394509502,0.0590890176773283,4.48744722247699,28.226457049843,0,64.1634196835247,58.2107144152318,68.0591892496625,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.0141619710963036,6.68933164618026,2.14567584080081,0.157204472575294,5.08005000940966,3.11548979775896,0,1.54233567347612,2.5283526726274,4.6812011101572,1
