Parameters,genz668764,gramicidin
EC50,3.98484696625774e-05,0.315466201507246
H,1.70147060445189,2.83440387613252
Ucinf,0.101499335483823,0
chi2,8.4769883966222,110.381778938016
good_of_fit,0,0
