Parameters,rifampicin,lumefantrine
EC50,0.0141312360450977,0.567625458613888
H,3.28277620816169,1.91972090437495
Ucinf,1.56553084099652,8.79306162088412
chi2,81.4401678984581,81.2627791172476
good_of_fit,0,0
