Parameters,panobinostatlbh589,nitd609
EC50,0.000640951874118152,0.0268546976515211
H,7.02580511687,3.95114274629459
Ucinf,0,2.11798634271154
chi2,70.1071486062717,474.896661792642
good_of_fit,0,0
