Parameters,quisinostathydrochloride,artemether
EC50,0.0268648509067696,0.00405307531181949
H,3.6810775185507,2.29052625543934
Ucinf,18.4535395013267,0
chi2,2831.21258629131,382.389759550192
good_of_fit,0,0
