Parameters,manidipinedihydrochloride,lumefantrine
EC50,0.00525083900684407,0.773949438294825
H,2.53313989455244,0.824152830782756
Ucinf,0,0
chi2,379.133366761105,267.621617087416
good_of_fit,0,0
