Parameters,ml238,decoquinate
EC50,0.00826809667321441,0.0182442396354411
H,2.9683668985045,2.02658705399397
Ucinf,4.72336744329213,4.17828928582887
chi2,21.2320285435842,46.8772505409045
good_of_fit,0,0
