Parameters,nitd609,halofantrine
EC50,0.000464185323481832,0.000741397105992722
H,3.26484777987615,5.56478128476436
Ucinf,0,0.264753850087096
chi2,12.3456481025233,425.059475586283
good_of_fit,0,0
