Parameters,amodiaquine,artemether
EC50,0.020163724339982,0.0157936687262871
H,4.52203780840556,10
Ucinf,5.6985780382484,5.93360031051506
chi2,2060.72478141239,862.572491893406
good_of_fit,0,0
