Parameters,cycloheximide,artemether
EC50,0.0312766031585821,0.448695850139997
H,9.99999999999952,3.0250612797798
Ucinf,3.10701399265926,7.96060755856823
chi2,760.791368221729,1448.00147733963
good_of_fit,0,0
