Parameters,pkc412,artenimol
EC50,0.0015499111734588,0.510902699957991
H,9.99999999999991,2.27936106890122
Ucinf,1.22804014379511,6.09736071092157
chi2,169.431040660927,246.149019184693
good_of_fit,0,0
