Parameters,amodiaquine,artenimol
EC50,0.000768898831742167,0.00849317180268798
H,3.00989135363279,9.99999999999998
Ucinf,1.28989748447204,0.0779914013326666
chi2,405.248593489252,854.811744266298
good_of_fit,0,0
