Parameters,methyleneblue,lumefantrine
EC50,0.0117820204035585,0.0206371107201182
H,2.50833374940526,5.54597653393605
Ucinf,0,2.45127548608457
chi2,42.4540454516526,140.371513210935
good_of_fit,0,0
