Parameters,kn62,nvpbgt226
EC50,0.000949735705765164,0.581703876676784
H,10,1.30355914516099
Ucinf,18.2701633391581,3.35429182346605
chi2,6032.13034377232,1274.93466774041
good_of_fit,0,0
