Parameters,nitd609,artenimol
EC50,0.0034521339390158,0.00184133199651323
H,2.89380568005925,9.99999999999999
Ucinf,5.88005038002469,5.07979830175894
chi2,351.052473211216,33842.1483474834
good_of_fit,0,0
