Parameters,kn62,mefloquine
EC50,0.0220284478764483,0.594568608191146
H,2.42396074403638,9.99999999999998
Ucinf,11.6222209202045,31.4383554404432
chi2,1007.18526681016,6145.57355078505
good_of_fit,0,0
