Parameters,quisinostathydrochloride,methyleneblue
EC50,0.0206053485538603,0.00433617468404433
H,6.51076055785542,4.24469336635575
Ucinf,4.37617453025009,1.77935816567625
chi2,331.316001973463,219.166820436429
good_of_fit,0,0
