Parameters,calhex231,artemether
EC50,0.0169330043155107,9.99999999999992
H,10,9.99999999999993
Ucinf,11.7180004152415,8.93256071070002
chi2,8604.42107899076,13034.4026184936
good_of_fit,0,0
